,Rank,Name,G,Fumbles Forced,Fumbles Forced/G
0,1,Texas,12,20,1.67
1,1,California,12,20,1.67
2,1,LSU,13,20,1.54
3,4,Army,13,19,1.46
4,4,Ohio State,13,19,1.46
5,4,Boise State,13,19,1.46
6,4,Idaho,13,19,1.46
7,8,New Mexico,12,18,1.50
8,8,Connecticut,13,18,1.38
9,8,Navy,13,18,1.38
10,8,South Carolina,14,18,1.29
11,12,Tulane,12,17,1.42
12,12,Purdue,12,17,1.42
13,12,North Carolina State,13,17,1.31
14,12,Georgia Tech,13,17,1.31
15,12,Oregon,13,17,1.31
16,12,Florida International,13,17,1.31
17,12,Oklahoma,14,17,1.21
18,12,Nevada,14,17,1.21
19,20,Iowa State,12,16,1.33
20,20,Wake Forest,12,16,1.33
21,20,Maryland,13,16,1.23
22,20,Stanford,13,16,1.23
23,20,West Virginia,13,16,1.23
24,20,Hawai'i,14,16,1.14
25,26,Arkansas State,12,15,1.25
26,26,Western Michigan,12,15,1.25
27,26,Oregon State,12,15,1.25
28,26,Central Michigan,12,15,1.25
29,26,Temple,12,15,1.25
30,26,Missouri,13,15,1.15
31,26,Arkansas,13,15,1.15
32,26,USC,13,15,1.15
33,26,Oklahoma State,13,15,1.15
34,26,Washington,13,15,1.15
35,26,Texas A&M,13,15,1.15
36,26,TCU,13,15,1.15
37,26,UCF,14,15,1.07
38,39,Colorado State,12,14,1.17
39,39,Rutgers,12,14,1.17
40,39,Vanderbilt,12,14,1.17
41,39,Mississippi State,13,14,1.08
42,39,Illinois,13,14,1.08
43,39,Fresno State,13,14,1.08
44,39,Florida State,14,14,1.00
45,39,Virginia Tech,14,14,1.00
46,47,Western Kentucky,12,13,1.08
47,47,Kent State,12,13,1.08
48,47,Troy,13,13,1.00
49,47,Pittsburgh,13,13,1.00
50,47,Michigan State,13,13,1.00
51,47,Utah,13,13,1.00
52,47,Miami (Ohio),14,13,0.93
53,54,Houston,12,12,1.00
54,54,Mississippi,12,12,1.00
55,54,Cincinnati,12,12,1.00
56,54,Duke,12,12,1.00
57,54,Washington State,12,12,1.00
58,54,Rice,12,12,1.00
59,54,Syracuse,13,12,0.92
60,54,Southern Mississippi,13,12,0.92
61,54,Texas Tech,13,12,0.92
62,54,Ohio,13,12,0.92
63,54,San Jose State,13,12,0.92
64,54,BYU,13,12,0.92
65,54,UNLV,13,12,0.92
66,54,Auburn,14,12,0.86
67,68,Kansas,12,11,0.92
68,68,Ball State,12,11,0.92
69,68,Marshall,12,11,0.92
70,68,Louisiana Tech,12,11,0.92
71,68,Buffalo,12,11,0.92
72,68,Florida Atlantic,12,11,0.92
73,68,Bowling Green,12,11,0.92
74,68,Kansas State,13,11,0.85
75,68,Toledo,13,11,0.85
76,68,Baylor,13,11,0.85
77,68,Clemson,13,11,0.85
78,68,North Carolina,13,11,0.85
79,80,Eastern Michigan,12,10,0.83
80,80,Minnesota,12,10,0.83
81,80,Wyoming,12,10,0.83
82,80,UAB,12,10,0.83
83,80,Akron,12,10,0.83
84,80,Tulsa,13,10,0.77
85,80,Air Force,13,10,0.77
86,80,UTEP,13,10,0.77
87,80,Georgia,13,10,0.77
88,80,Miami (Florida),13,10,0.77
89,80,Northwestern,13,10,0.77
90,80,Boston College,13,10,0.77
91,80,Kentucky,13,10,0.77
92,80,Northern Illinois,14,10,0.71
93,94,Arizona State,12,9,0.75
94,94,North Texas,12,9,0.75
95,94,Wisconsin,13,9,0.69
96,94,Arizona,13,9,0.69
97,94,Middle Tennessee,13,9,0.69
98,94,Louisville,13,9,0.69
99,94,Alabama,13,9,0.69
100,94,Tennessee,13,9,0.69
101,94,Nebraska,14,9,0.64
102,103,Colorado,12,8,0.67
103,103,UCLA,12,8,0.67
104,103,East Carolina,13,8,0.62
105,103,Notre Dame,13,8,0.62
106,103,San Diego State,13,8,0.62
107,108,New Mexico State,12,7,0.58
108,108,Virginia,12,7,0.58
109,108,South Florida,13,7,0.54
110,108,SMU,14,7,0.50
111,112,Louisiana-Lafayette,12,6,0.50
112,112,Louisiana-Monroe,12,6,0.50
113,112,Memphis,12,6,0.50
114,112,Iowa,13,6,0.46
115,112,Michigan,13,6,0.46
116,112,Florida,13,6,0.46
117,118,Indiana,12,5,0.42
118,119,Penn State,13,4,0.31
119,120,Utah State,12,3,0.25
