,Rank,Name,G,Total Time,Time/G
0,1,Rice,13,441:59,33:59.92
1,2,New Mexico,13,439:17,33:47.46
2,3,Michigan State,13,432:46,33:17.38
3,4,SMU,13,430:54,33:08.77
4,5,Georgia Tech,14,461:38,32:58.43
5,6,Louisville,13,428:35,32:58.08
6,7,North Texas,12,395:22,32:56.83
7,8,TCU,13,425:36,32:44.31
8,9,Florida,13,421:45,32:26.54
9,10,Western Kentucky,13,420:55,32:22.69
10,11,Alabama,14,451:50,32:16.43
11,12,Wisconsin,14,451:36,32:15.43
12,13,San Jose State,13,419:19,32:15.31
13,14,Virginia,12,386:10,32:10.83
14,15,Utah,12,385:34,32:07.83
15,16,BYU,13,416:44,32:03.38
16,17,Oregon State,13,416:37,32:02.85
17,18,Kansas State,13,416:34,32:02.62
18,19,Kansas,12,383:48,31:59.00
19,20,Army,12,383:18,31:56.50
20,21,UTSA,10,318:59,31:53.90
21,22,Washington,13,414:09,31:51.46
22,23,Notre Dame,13,412:35,31:44.23
23,24,Stanford,14,443:56,31:42.57
24,25,Louisiana-Monroe,13,410:48,31:36.00
25,26,Colorado,12,378:24,31:32.00
26,27,Toledo,13,409:30,31:30.00
27,28,Maryland,12,376:32,31:22.67
28,29,Penn State,12,376:23,31:21.92
29,30,Bowling Green,13,405:57,31:13.62
30,31,East Carolina,13,405:30,31:11.54
31,32,Navy,13,405:20,31:10.77
32,33,Ball State,13,405:17,31:10.54
33,34,Duke,13,404:42,31:07.85
34,35,Oklahoma,13,403:48,31:03.69
35,36,Minnesota,13,403:40,31:03.08
36,37,Kent State,14,434:41,31:02.93
37,38,Nebraska,14,433:26,30:57.57
38,39,San Diego State,13,402:04,30:55.69
39,40,Pittsburgh,13,401:57,30:55.15
40,41,Connecticut,12,370:17,30:51.42
41,42,Texas,13,400:47,30:49.77
42,43,UAB,12,369:13,30:46.08
43,44,UCF,14,429:35,30:41.07
44,45,Ohio,13,398:52,30:40.92
45,46,Florida Atlantic,12,367:02,30:35.17
46,47,LSU,13,397:26,30:34.31
47,48,Nevada,13,397:01,30:32.38
48,49,North Carolina State,13,396:10,30:28.46
49,50,Tulsa,14,424:18,30:18.43
50,51,Purdue,13,393:36,30:16.62
51,52,Northwestern,13,393:12,30:14.77
52,53,Illinois,12,362:55,30:14.58
53,54,Texas Tech,13,392:56,30:13.54
54,55,Vanderbilt,13,392:24,30:11.08
55,56,Troy,12,362:05,30:10.42
56,57,Michigan,13,392:15,30:10.38
57,58,Virginia Tech,13,391:40,30:07.69
58,59,Ohio State,12,361:28,30:07.33
59,60,Rutgers,13,391:31,30:07.00
60,61,Memphis,12,360:45,30:03.75
61,62,Florida State,14,420:49,30:03.50
62,63,Fresno State,13,390:36,30:02.77
63,64,Mississippi State,13,390:15,30:01.15
64,65,Texas State,12,359:52,29:59.33
65,66,Missouri,12,358:45,29:53.75
66,67,Florida International,12,357:17,29:46.42
67,68,South Carolina,13,387:00,29:46.15
68,69,Miami (Ohio),12,356:24,29:42.00
69,70,UCLA,14,415:08,29:39.14
70,71,Boise State,13,385:22,29:38.62
71,72,Iowa,12,355:41,29:38.42
72,73,Hawai'i,12,355:29,29:37.42
73,74,Auburn,12,355:20,29:36.67
74,75,Temple,11,325:36,29:36.00
75,76,UTEP,12,354:40,29:33.33
76,77,South Alabama,13,383:19,29:29.15
77,78,Syracuse,13,382:32,29:25.54
78,79,Central Michigan,13,382:24,29:24.92
79,80,Wake Forest,12,352:40,29:23.33
80,81,Tulane,12,352:39,29:23.25
81,82,UNLV,13,381:57,29:22.85
82,83,Arizona State,13,380:17,29:15.15
83,84,New Mexico State,12,350:37,29:13.08
84,85,Western Michigan,12,350:16,29:11.33
85,86,USC,13,379:19,29:10.69
86,87,Idaho,12,349:57,29:09.75
87,88,Massachusetts,12,349:10,29:05.83
88,89,Arkansas State,13,377:30,29:02.31
89,90,Louisiana-Lafayette,13,376:20,28:56.92
90,91,Eastern Michigan,12,346:24,28:52.00
91,92,Clemson,13,374:20,28:47.69
92,93,Cincinnati,13,373:19,28:43.00
93,94,Wyoming,12,343:32,28:37.67
94,95,West Virginia,13,372:09,28:37.62
95,96,Buffalo,12,342:18,28:31.50
96,97,Middle Tennessee,12,341:16,28:26.33
97,98,Marshall,12,339:28,28:17.33
98,99,Air Force,13,366:27,28:11.31
99,100,Texas A&M,13,365:51,28:08.54
100,101,Georgia,14,393:42,28:07.29
101,102,Oregon,13,365:01,28:04.69
102,103,Mississippi,13,364:50,28:03.85
103,104,Louisiana Tech,12,335:59,27:59.92
104,105,Utah State,13,363:49,27:59.15
105,106,Colorado State,12,335:27,27:57.25
106,107,Akron,12,334:46,27:53.83
107,108,California,12,333:47,27:48.92
108,109,Washington State,12,333:08,27:45.67
109,110,Southern Mississippi,12,332:39,27:43.25
110,111,Arkansas,12,330:47,27:33.92
111,112,Baylor,13,355:40,27:21.54
112,113,Oklahoma State,13,355:22,27:20.15
113,114,South Florida,12,327:47,27:18.92
114,115,Iowa State,13,354:36,27:16.62
115,116,Northern Illinois,14,380:52,27:12.29
116,117,Boston College,12,323:56,26:59.67
117,118,Tennessee,12,323:40,26:58.33
118,119,Arizona,13,349:34,26:53.38
119,120,North Carolina,12,322:24,26:52.00
120,121,Indiana,12,318:11,26:30.92
121,122,Miami (Florida),12,313:11,26:05.92
122,123,Kentucky,12,309:31,25:47.58
123,124,Houston,12,297:39,24:48.25
