,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Baylor,13,91,15,88,1,0,681,52.4
1,2,Florida State,14,94,21,94,0,1,723,51.6
2,3,Ohio State,14,87,9,80,2,2,637,45.5
3,3,Oregon,13,81,10,71,2,0,591,45.5
4,5,Texas A&M,13,78,10,73,0,2,575,44.2
5,6,Fresno State,13,76,11,71,1,1,564,43.4
6,7,Marshall,14,80,11,77,0,0,590,42.1
7,8,Clemson,13,69,14,66,0,0,522,40.2
8,8,East Carolina,13,68,16,64,1,0,522,40.2
9,10,Arizona State,14,69,25,63,1,1,556,39.7
10,11,Northern Illinois,14,71,20,69,0,0,555,39.6
11,12,Auburn,14,73,15,66,2,0,553,39.5
12,13,Missouri,14,71,18,66,1,0,548,39.1
13,13,Oklahoma State,13,68,11,67,0,0,508,39.1
14,15,Ball State,13,64,19,60,0,0,501,38.5
15,16,Indiana,12,62,9,56,2,1,461,38.4
16,17,Alabama,13,65,13,65,0,1,496,38.2
17,18,Washington,13,64,15,62,0,1,493,37.9
18,19,Boise State,13,63,17,57,1,0,488,37.5
19,20,UCLA,13,63,14,60,0,0,480,36.9
20,21,Georgia,13,58,24,57,0,0,477,36.7
21,22,Colorado State,14,63,21,58,3,1,507,36.2
22,23,LSU,13,61,13,60,0,0,465,35.8
23,23,Texas Tech,13,57,23,52,0,1,465,35.8
24,25,Louisville,13,57,20,55,0,0,457,35.2
25,26,Georgia Tech,13,61,10,60,0,0,456,35.1
26,27,Bowling Green,14,62,18,59,1,0,487,34.8
27,27,Wisconsin,13,59,14,57,0,0,453,34.8
28,27,Oregon State,13,59,14,50,2,1,452,34.8
29,30,UCF,13,55,21,53,1,1,450,34.6
30,31,South Carolina,13,57,15,54,1,0,443,34.1
31,31,Troy,12,54,11,50,1,0,409,34.1
32,33,Miami (Florida),13,57,13,57,0,1,440,33.8
33,33,Louisiana-Lafayette,13,59,9,54,2,0,439,33.8
34,35,Navy,13,58,11,51,2,0,436,33.5
35,35,Arizona,13,57,12,53,1,1,435,33.5
36,37,Kansas State,13,56,14,52,1,0,432,33.2
37,37,Houston,13,54,17,52,1,1,431,33.2
38,39,Toledo,12,49,19,45,0,0,396,33.0
39,40,Duke,14,60,13,58,1,0,459,32.8
40,40,Oklahoma,13,50,24,47,2,2,427,32.8
41,40,New Mexico,12,53,8,49,1,0,393,32.8
42,43,North Carolina,13,55,14,49,1,1,425,32.7
43,44,San Jose State,12,46,22,39,4,0,389,32.4
44,45,Stanford,14,56,20,54,0,1,452,32.3
45,46,Michigan,13,52,18,49,2,0,419,32.2
46,47,Cincinnati,13,57,7,54,0,0,417,32.1
47,48,Nebraska,13,54,13,50,0,1,415,31.9
48,49,Utah State,14,56,18,53,1,0,445,31.8
49,49,North Texas,13,55,10,50,2,0,414,31.8
50,51,Wyoming,12,52,4,47,2,0,375,31.3
51,52,Washington State,13,51,16,49,0,0,403,31.0
52,53,Western Kentucky,12,47,13,45,0,2,370,30.8
53,54,Buffalo,13,51,13,45,0,2,394,30.3
54,55,BYU,13,47,21,45,0,1,392,30.2
55,56,Vanderbilt,13,49,15,48,2,0,391,30.1
56,57,Mississippi,13,49,16,44,1,1,390,30.0
57,58,UNLV,13,52,10,45,1,0,389,29.9
58,59,San Diego State,13,52,8,39,5,1,387,29.8
59,60,USC,14,53,15,49,1,1,416,29.7
60,60,Illinois,12,45,12,40,4,1,356,29.7
61,62,Rice,14,54,14,47,0,1,415,29.6
62,63,Michigan State,14,51,19,48,0,0,411,29.4
63,63,South Alabama,12,43,18,37,2,0,353,29.4
64,65,Texas,13,46,20,45,0,0,381,29.3
65,66,Arkansas State,13,48,15,46,0,0,379,29.2
66,66,Utah,12,43,17,41,0,0,350,29.2
67,68,Middle Tennessee,13,49,12,47,0,0,377,29.0
68,69,Penn State,12,43,15,41,0,0,344,28.7
69,70,Mississippi State,13,48,10,40,1,0,360,27.7
70,70,Boston College,13,43,20,40,1,0,360,27.7
71,72,Ohio,13,43,18,42,0,1,356,27.4
72,72,Hawai'i,12,44,7,36,3,1,329,27.4
73,74,Notre Dame,13,42,20,42,0,0,354,27.2
74,75,Nevada,12,41,14,33,1,0,323,26.9
75,76,SMU,12,38,18,33,2,1,321,26.8
76,77,Rutgers,13,44,13,40,1,0,345,26.5
77,78,Florida Atlantic,12,41,11,36,1,0,317,26.4
78,79,Pittsburgh,13,43,14,40,1,0,342,26.3
79,79,Iowa,13,42,16,42,0,0,342,26.3
80,79,West Virginia,12,38,17,35,0,1,316,26.3
81,79,UAB,12,38,16,35,2,0,315,26.3
82,83,Maryland,13,39,21,37,1,2,340,26.2
83,83,Northwestern,12,35,23,35,0,0,314,26.2
84,85,Minnesota,13,42,14,36,2,0,334,25.7
85,86,UTSA,12,39,11,38,1,0,307,25.6
86,87,Colorado,12,36,17,30,4,0,305,25.4
87,88,TCU,12,37,14,37,0,0,301,25.1
88,89,Temple,12,42,3,34,2,0,299,24.9
89,90,Tulane,13,39,16,38,0,1,322,24.8
90,90,Iowa State,12,37,13,35,1,0,298,24.8
91,92,Air Force,12,38,11,35,0,0,296,24.7
92,93,Army,12,38,8,37,1,1,293,24.4
93,94,Texas State,12,37,9,34,2,0,287,23.9
94,95,Tennessee,12,35,14,34,0,0,286,23.8
95,96,Central Michigan,12,35,12,33,0,0,279,23.3
96,97,California,12,32,17,31,0,1,276,23.0
97,98,North Carolina State,12,31,19,31,0,0,274,22.8
98,99,Syracuse,13,38,11,32,1,0,295,22.7
99,100,Virginia Tech,13,35,15,32,1,2,293,22.5
100,101,Louisiana-Monroe,12,36,5,34,1,0,267,22.3
101,102,UTEP,12,34,7,32,1,1,261,21.8
102,103,Tulsa,12,29,16,25,3,0,253,21.1
103,104,New Mexico State,12,32,10,29,0,0,251,20.9
104,105,Kent State,12,31,10,29,2,0,249,20.8
105,106,Arkansas,12,30,13,29,0,0,248,20.7
106,107,Connecticut,12,31,10,27,2,0,247,20.6
107,108,Kentucky,12,30,12,28,0,1,246,20.5
108,109,Akron,12,31,9,29,0,0,242,20.2
109,110,Virginia,12,27,15,24,2,1,237,19.8
110,111,Memphis,12,27,16,24,0,0,234,19.5
111,112,Louisiana Tech,12,25,18,22,1,1,230,19.2
112,113,Eastern Michigan,12,30,6,24,2,0,226,18.8
113,113,Florida,12,27,12,24,1,1,226,18.8
114,113,Georgia State,12,29,8,27,0,0,225,18.8
115,116,Wake Forest,12,28,8,26,1,0,220,18.3
116,117,Idaho,12,27,10,26,0,0,218,18.2
117,118,Western Michigan,12,23,16,20,0,0,206,17.2
118,119,Southern Mississippi,12,24,11,24,0,2,205,17.1
119,120,Kansas,12,22,11,19,0,0,184,15.3
120,121,Purdue,12,23,6,21,0,1,179,14.9
121,122,South Florida,12,16,18,15,0,0,165,13.8
122,123,Massachusetts,12,15,12,14,0,0,140,11.7
123,124,Miami (Ohio),12,14,7,12,0,0,117,9.8
124,124,Florida International,12,13,9,12,0,0,117,9.8
