,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Marshall,13,0,0,0,0,0,0,0
1,1,Memphis,13,0,0,0,0,0,0,0
2,3,Georgia Southern,13,1,0,0,0,0,0,0
3,3,Kansas,12,1,0,0,0,0,0,0
4,3,Northern Illinois,14,1,0,0,0,0,0,0
5,3,Ohio State,13,1,0,0,0,0,0,0
6,3,Pittsburgh,13,1,1,0,0,0,0,0
7,3,South Carolina,12,1,0,0,0,0,0,0
8,9,Army,12,2,1,0,0,0,0,0
9,9,Georgia Tech,12,2,1,1,1,1,1,1
10,9,Maryland,12,2,1,1,1,1,1,1
11,9,SMU,12,2,0,0,0,0,0,0
12,9,Texas A&M,13,2,1,1,1,1,0,0
13,9,Troy,12,2,0,0,0,0,0,0
14,9,UCF,12,2,2,1,1,1,0,0
15,9,Utah State,13,2,1,0,0,0,0,0
16,17,Auburn,13,3,0,0,0,0,0,0
17,17,Boston College,12,3,1,1,1,1,1,0
18,17,Florida Atlantic,12,3,1,0,0,0,0,0
19,17,Florida State,13,3,0,0,0,0,0,0
20,17,Louisiana-Monroe,13,3,0,0,0,0,0,0
21,17,Miami (Ohio),12,3,1,0,0,0,0,0
22,17,Michigan,13,3,1,1,1,1,1,1
23,17,Minnesota,13,3,3,2,0,0,0,0
24,17,Mississippi,13,3,1,0,0,0,0,0
25,17,New Mexico,13,3,2,1,0,0,0,0
26,17,Rutgers,12,3,1,0,0,0,0,0
27,17,Tennessee,13,3,0,0,0,0,0,0
28,17,UCLA,13,3,3,2,2,1,1,1
29,17,UTEP,12,3,1,0,0,0,0,0
30,17,Vanderbilt,12,3,1,1,1,1,0,0
31,17,Virginia,12,3,2,1,1,1,1,1
32,17,Wisconsin,13,3,1,0,0,0,0,0
33,34,Alabama,15,4,1,0,0,0,0,0
34,34,Arizona State,13,4,1,1,1,1,1,1
35,34,Ball State,12,4,0,0,0,0,0,0
36,34,Boise State,13,4,2,2,1,1,1,1
37,34,Duke,13,4,2,2,2,2,2,2
38,34,Florida,14,4,0,0,0,0,0,0
39,34,Florida International,12,4,0,0,0,0,0,0
40,34,Hawai'i,13,4,4,2,1,1,1,1
41,34,Kentucky,12,4,2,1,1,1,1,1
42,34,Louisville,13,4,2,2,2,2,2,2
43,34,Miami (Florida),13,4,2,1,1,1,1,0
44,34,Mississippi State,13,4,1,0,0,0,0,0
45,34,Nebraska,13,4,0,0,0,0,0,0
46,34,North Carolina,14,4,1,0,0,0,0,0
47,34,North Carolina State,13,4,1,0,0,0,0,0
48,34,North Texas,12,4,2,1,1,1,1,0
49,34,Northwestern,13,4,1,1,1,1,1,1
50,34,Rice,12,4,2,1,0,0,0,0
51,34,South Alabama,12,4,1,0,0,0,0,0
52,34,Syracuse,12,4,2,0,0,0,0,0
53,34,Temple,14,4,1,1,1,1,1,0
54,34,Virginia Tech,13,4,1,1,0,0,0,0
55,34,Wake Forest,12,4,2,1,0,0,0,0
56,57,Akron,13,5,2,2,1,1,0,0
57,57,Arkansas State,13,5,2,1,1,1,1,1
58,57,Eastern Michigan,12,5,1,1,0,0,0,0
59,57,Fresno State,12,5,2,2,2,2,2,2
60,57,Georgia,13,5,2,1,0,0,0,0
61,57,Houston,14,5,0,0,0,0,0,0
62,57,Illinois,12,5,3,2,1,0,0,0
63,57,Iowa,14,5,2,1,1,1,1,1
64,57,Iowa State,12,5,3,3,2,1,1,1
65,57,Massachusetts,12,5,1,1,1,1,1,0
66,57,New Mexico State,12,5,0,0,0,0,0,0
67,57,Oklahoma,13,5,1,1,0,0,0,0
68,57,TCU,13,5,3,1,0,0,0,0
69,57,Texas,12,5,1,0,0,0,0,0
70,57,Toledo,12,5,2,2,1,1,1,1
71,57,Utah,13,5,2,2,2,2,1,1
72,57,Wyoming,12,5,0,0,0,0,0,0
73,74,Air Force,14,6,2,1,1,1,1,1
74,74,BYU,13,6,0,0,0,0,0,0
75,74,Charlotte,12,6,1,1,1,1,1,1
76,74,Colorado State,13,6,3,2,1,1,1,1
77,74,Louisiana-Lafayette,12,6,2,2,2,1,1,1
78,74,Ohio,13,6,3,1,0,0,0,0
79,74,Old Dominion,12,6,2,2,1,0,0,0
80,74,Oregon,13,6,0,0,0,0,0,0
81,74,Penn State,13,6,3,3,2,2,2,2
82,74,San Diego State,14,6,2,0,0,0,0,0
83,74,Tulane,12,6,3,1,1,1,1,1
84,74,UNLV,12,6,1,1,0,0,0,0
85,74,UTSA,12,6,2,0,0,0,0,0
86,74,Western Kentucky,14,6,2,2,2,1,1,1
87,74,Western Michigan,13,6,0,0,0,0,0,0
88,89,Arkansas,13,7,3,1,1,1,1,1
89,89,Buffalo,12,7,4,3,0,0,0,0
90,89,Central Michigan,13,7,3,3,3,1,1,0
91,89,Connecticut,13,7,3,1,1,1,1,1
92,89,East Carolina,12,7,0,0,0,0,0,0
93,89,Idaho,12,7,4,2,2,2,2,2
94,89,Kent State,12,7,2,1,1,1,1,1
95,89,Michigan State,14,7,4,2,2,2,1,1
96,89,Missouri,12,7,4,1,1,0,0,0
97,89,Nevada,13,7,4,3,3,2,1,1
98,89,Notre Dame,13,7,3,2,1,0,0,0
99,89,USC,14,7,1,1,0,0,0,0
100,89,Washington State,13,7,2,2,2,2,2,2
101,102,Colorado,13,8,4,2,0,0,0,0
102,102,Georgia State,13,8,5,3,1,0,0,0
103,102,Oregon State,12,8,4,2,0,0,0,0
104,102,Washington,13,8,4,2,2,1,1,0
105,106,Appalachian State,13,9,4,2,1,1,0,0
106,106,Bowling Green,14,9,4,3,2,1,1,1
107,106,Purdue,12,9,2,1,1,1,1,0
108,106,San Jose State,13,9,7,4,2,0,0,0
109,110,Arizona,13,10,2,1,1,0,0,0
110,110,California,13,10,4,1,1,1,1,1
111,110,Indiana,13,10,3,2,1,1,1,1
112,110,Kansas State,13,10,2,1,1,0,0,0
113,110,LSU,12,10,3,1,1,1,1,1
114,110,Oklahoma State,13,10,3,2,2,2,2,2
115,110,Southern Mississippi,14,10,2,2,2,1,1,1
116,110,Stanford,14,10,4,1,1,1,1,1
117,110,Texas Tech,13,10,5,2,1,1,1,1
118,110,West Virginia,13,10,6,4,3,2,2,1
119,120,Cincinnati,13,11,5,4,2,2,2,2
120,120,Navy,13,11,5,2,2,2,2,2
121,120,South Florida,13,11,5,2,0,0,0,0
122,120,Texas State,12,11,4,3,1,1,1,1
123,124,Baylor,13,13,7,3,2,2,1,1
124,124,Clemson,15,13,6,3,3,3,3,3
125,124,Tulsa,13,13,1,1,1,1,1,1
126,127,Louisiana Tech,13,14,4,4,3,3,3,3
127,127,Middle Tennessee,13,14,7,2,0,0,0,0
