,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,Texas State,12,8,0.67
1,2,Georgia Southern,12,7,0.58
2,2,Michigan,13,7,0.54
3,4,Oklahoma State,13,6,0.46
4,5,Texas,12,5,0.42
5,5,Maryland,13,5,0.38
6,5,Indiana,13,5,0.38
7,5,Arkansas State,13,5,0.38
8,5,Miami (Florida),13,5,0.38
9,5,Central Michigan,13,5,0.38
10,5,Temple,14,5,0.36
11,5,Clemson,15,5,0.33
12,13,Louisiana-Monroe,12,4,0.33
13,13,Florida Atlantic,12,4,0.33
14,13,Tulsa,13,4,0.31
15,13,Mississippi State,13,4,0.31
16,13,Georgia Tech,13,4,0.31
17,13,Florida State,13,4,0.31
18,13,BYU,13,4,0.31
19,13,Hawai'i,14,4,0.29
20,13,Western Kentucky,14,4,0.29
21,13,Virginia Tech,14,4,0.29
22,23,Tulane,12,3,0.25
23,23,SMU,12,3,0.25
24,23,UTEP,12,3,0.25
25,23,Oregon,12,3,0.25
26,23,Oregon State,12,3,0.25
27,23,East Carolina,12,3,0.25
28,23,UCLA,12,3,0.25
29,23,Rutgers,12,3,0.25
30,23,Boise State,13,3,0.23
31,23,Idaho,13,3,0.23
32,23,North Carolina,13,3,0.23
33,23,Air Force,13,3,0.23
34,23,Auburn,13,3,0.23
35,23,Southern Mississippi,13,3,0.23
36,23,Pittsburgh,13,3,0.23
37,23,UTSA,13,3,0.23
38,23,North Carolina State,13,3,0.23
39,23,USC,13,3,0.23
40,23,UCF,13,3,0.23
41,23,Penn State,14,3,0.21
42,23,Alabama,15,3,0.20
43,44,Kent State,12,2,0.17
44,44,Syracuse,12,2,0.17
45,44,Connecticut,12,2,0.17
46,44,Kansas,12,2,0.17
47,44,Marshall,12,2,0.17
48,44,Texas Tech,12,2,0.17
49,44,Akron,12,2,0.17
50,44,Florida International,12,2,0.17
51,44,Fresno State,12,2,0.17
52,44,Notre Dame,12,2,0.17
53,44,Nevada,12,2,0.17
54,44,Northern Illinois,12,2,0.17
55,44,Texas A&M,13,2,0.15
56,44,Eastern Michigan,13,2,0.15
57,44,Kansas State,13,2,0.15
58,44,Army,13,2,0.15
59,44,Toledo,13,2,0.15
60,44,Middle Tennessee,13,2,0.15
61,44,Arkansas,13,2,0.15
62,44,Miami (Ohio),13,2,0.15
63,44,Louisville,13,2,0.15
64,44,South Alabama,13,2,0.15
65,44,South Carolina,13,2,0.15
66,44,Florida,13,2,0.15
67,44,New Mexico,13,2,0.15
68,44,Wake Forest,13,2,0.15
69,44,Ohio,14,2,0.14
70,71,Boston College,13,1,0.08
71,71,Kentucky,13,1,0.08
72,71,TCU,13,1,0.08
73,71,Utah State,12,1,0.08
74,71,Rice,12,1,0.08
75,71,Charlotte,12,1,0.08
76,71,Vanderbilt,13,1,0.08
77,71,Bowling Green,12,1,0.08
78,71,Ball State,12,1,0.08
79,71,Iowa,13,1,0.08
80,71,Stanford,13,1,0.08
81,71,Louisiana-Lafayette,13,1,0.08
82,71,Troy,13,1,0.08
83,71,Purdue,12,1,0.08
84,71,Illinois,12,1,0.08
85,71,Appalachian State,13,1,0.08
86,71,North Texas,13,1,0.08
87,71,Georgia State,12,1,0.08
88,71,Michigan State,12,1,0.08
89,71,Massachusetts,12,1,0.08
90,71,Old Dominion,13,1,0.08
91,71,Memphis,13,1,0.08
92,71,West Virginia,13,1,0.08
93,71,San Jose State,12,1,0.08
94,71,Washington State,13,1,0.08
95,71,Ohio State,13,1,0.08
96,71,UNLV,12,1,0.08
97,71,Nebraska,13,1,0.08
98,71,Navy,14,1,0.07
99,71,Wisconsin,14,1,0.07
100,71,Colorado,14,1,0.07
101,71,Western Michigan,14,1,0.07
102,71,Louisiana Tech,14,1,0.07
