,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,Wisconsin,14,20,75,95,6.79
1,2,Iowa,13,21,72,93,7.15
2,3,Memphis,13,16,71,87,6.69
3,4,Alabama,14,19,66,85,6.07
4,5,Oregon,13,15,67,82,6.31
5,5,Ohio,13,9,73,82,6.31
6,5,USC,14,16,66,82,5.86
7,8,Wake Forest,13,14,66,80,6.15
8,9,LSU,13,12,64,76,5.85
9,10,Northwestern,13,17,58,75,5.77
10,10,Ohio State,14,13,62,75,5.36
11,12,South Florida,12,20,53,73,6.08
12,12,Florida State,13,9,64,73,5.62
13,12,TCU,14,13,60,73,5.21
14,15,Miami (Florida),13,17,55,72,5.54
15,16,Boston College,13,18,53,71,5.46
16,17,Massachusetts,12,13,57,70,5.83
17,17,UCF,13,20,50,70,5.38
18,17,Texas,13,16,54,70,5.38
19,17,Penn State,13,10,60,70,5.38
20,17,Clemson,14,14,56,70,5.00
21,22,Rutgers,12,12,57,69,5.75
22,22,South Carolina,13,14,55,69,5.31
23,24,Colorado,12,8,60,68,5.67
24,24,Arizona,13,19,49,68,5.23
25,26,Duke,13,15,52,67,5.15
26,27,Troy,13,17,49,66,5.08
27,27,Texas Tech,13,14,52,66,5.08
28,27,North Carolina State,13,14,52,66,5.08
29,27,Boise State,14,15,51,66,4.71
30,31,Appalachian State,13,18,47,65,5.00
31,31,Oklahoma State,13,17,48,65,5.00
32,33,Miami (Ohio),12,11,53,64,5.33
33,33,New Mexico State,13,16,48,64,4.92
34,33,Kansas State,13,12,52,64,4.92
35,36,UAB,13,14,49,63,4.85
36,36,West Virginia,13,11,52,63,4.85
37,36,Michigan,13,10,53,63,4.85
38,36,Florida Atlantic,14,20,43,63,4.50
39,40,Arkansas State,12,14,48,62,5.17
40,40,Washington,13,15,47,62,4.77
41,40,Utah,13,14,48,62,4.77
42,40,Notre Dame,13,10,52,62,4.77
43,44,Louisville,13,13,48,61,4.69
44,44,Southern Mississippi,13,9,52,61,4.69
45,46,Georgia Southern,12,14,46,60,5.00
46,46,Pittsburgh,12,9,51,60,5.00
47,46,Michigan State,13,14,46,60,4.62
48,46,Toledo,14,15,45,60,4.29
49,50,Houston,12,15,44,59,4.92
50,50,North Carolina,12,7,52,59,4.92
51,50,Northern Illinois,13,15,44,59,4.54
52,50,Virginia Tech,13,13,46,59,4.54
53,50,Texas A&M,13,10,49,59,4.54
54,50,Auburn,14,6,53,59,4.21
55,56,Bowling Green,12,9,49,58,4.83
56,56,Mississippi State,13,13,45,58,4.46
57,56,Western Kentucky,13,10,48,58,4.46
58,56,Akron,14,19,39,58,4.14
59,60,Utah State,13,13,44,57,4.38
60,60,Marshall,13,6,51,57,4.38
61,62,Tulane,12,13,43,56,4.67
62,62,Fresno State,14,9,47,56,4.00
63,62,Georgia,15,12,44,56,3.73
64,65,South Alabama,12,8,47,55,4.58
65,65,Vanderbilt,12,7,48,55,4.58
66,65,Wyoming,13,20,35,55,4.23
67,65,Central Michigan,13,19,36,55,4.23
68,65,Virginia,13,15,40,55,4.23
69,65,Middle Tennessee,13,5,50,55,4.23
70,71,San Diego State,13,14,40,54,4.15
71,72,Louisiana Tech,13,19,34,53,4.08
72,72,Colorado State,13,12,41,53,4.08
73,72,SMU,13,12,41,53,4.08
74,72,Kentucky,13,11,42,53,4.08
75,76,California,12,14,38,52,4.33
76,76,Arkansas,12,8,44,52,4.33
77,76,Stanford,14,18,34,52,3.71
78,79,Florida,11,14,36,50,4.55
79,79,Louisiana-Monroe,12,9,41,50,4.17
80,79,Iowa State,13,12,38,50,3.85
81,79,Purdue,13,10,40,50,3.85
82,79,Temple,13,10,40,50,3.85
83,84,Western Michigan,12,10,39,49,4.08
84,84,Missouri,13,12,37,49,3.77
85,84,UCLA,13,8,41,49,3.77
86,84,BYU,13,8,41,49,3.77
87,84,San Jose State,13,6,43,49,3.77
88,89,Oklahoma,14,8,40,48,3.43
89,90,Kent State,12,12,35,47,3.92
90,90,Eastern Michigan,12,8,39,47,3.92
91,92,Old Dominion,12,8,38,46,3.83
92,93,Louisiana-Lafayette,12,9,36,45,3.75
93,93,Illinois,12,9,36,45,3.75
94,95,Maryland,12,10,34,44,3.67
95,95,Georgia State,12,10,34,44,3.67
96,95,Minnesota,12,8,36,44,3.67
97,95,New Mexico,12,6,38,44,3.67
98,95,Coastal Carolina,12,5,39,44,3.67
99,95,Arizona State,13,11,33,44,3.38
100,101,UTSA,11,13,30,43,3.91
101,101,Indiana,12,5,38,43,3.58
102,101,Baylor,12,3,40,43,3.58
103,101,North Texas,14,8,35,43,3.07
104,105,Mississippi,12,8,34,42,3.50
105,105,Washington State,13,15,27,42,3.23
106,105,Navy,13,7,35,42,3.23
107,108,Georgia Tech,11,6,35,41,3.73
108,108,Tulsa,12,7,34,41,3.42
109,108,Florida International,13,7,34,41,3.15
110,111,Buffalo,12,8,32,40,3.33
111,111,Connecticut,12,6,34,40,3.33
112,111,UTEP,12,6,34,40,3.33
113,111,Cincinnati,12,5,35,40,3.33
114,115,Ball State,12,6,33,39,3.25
115,115,Army,13,6,33,39,3.00
116,117,Idaho,12,9,29,38,3.17
117,117,Kansas,12,4,34,38,3.17
118,119,Nebraska,12,9,28,37,3.08
119,119,Nevada,12,8,29,37,3.08
120,119,Oregon State,12,7,30,37,3.08
121,119,East Carolina,12,7,30,37,3.08
122,119,Tennessee,12,5,32,37,3.08
123,119,Texas State,12,0,37,37,3.08
124,125,Hawai'i,12,9,27,36,3.00
125,125,Syracuse,12,4,32,36,3.00
126,125,Rice,12,3,33,36,3.00
127,128,UNLV,12,7,26,33,2.75
128,128,Charlotte,12,2,31,33,2.75
129,130,Air Force,12,5,26,31,2.58
